	city name	full city name (GEA)	full city name (UITP)	full city name (WB)	definition  (WB)	study_year (WB)	country	population (GEA)	population (UITP)	population (WB)	population_year (WB)	pop_1950 (WB)	pop_1990 (WB)	pop_2010 (WB)	growth_rate_1950-2010 (WB)	growth_rate_1990-2010 (WB)	area_size (GEA)	area_size (WB)	population_density (GEA)	population_density (UITP)	pop_density (WB)	pop/sqrt(area_size) (GEA)	pop/sqrt(area) (WB)	total_final_consumption_per_capita (GEA)	energy_per_cap_CO2 (WB)	weather_station_id (GEA+)	CDD_23C (GEA+)	HDD_15.5C (GEA+)	diesel_price (GEA+)	gasoline_price (GEA+)	center_of_commerce_index (GEA+)	household_size (GEA+)	year_household_size (GEA+)	household_source (GEA+)	comment_household_size (GEA+)	urbanization_ratio (GEA+)	water_bounded (GEA+)	other_bounded (GEA+)	GDP-PPP/cap (GEA)	GDP-PPP/cap (UITP)	GDP-PPP/cap (WB)
102	Lancashire CC	Lancashire CC					United Kingdom	1165400.0									2903.0		401.4467791939373			21629.749801433547		104.26196060215322		EGNH	2.0	2015.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	28180.350592638675		
103	Lanzhou	Lanzhou					China	3136399.9999999995									13300.0		235.8195488721804			27196.037084154494		65.42283987629077		ZLLL	75.0	3605.0	1.01	0.99	-999.0	3.97	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Gansu"""	42.522	0.0	Mountains	5900.60034340591		
104	Leicester	Leicester					United Kingdom	289600.0									73.32		3949.8090561920353			33821.068916774544		87.13512836676543		EGNX	6.0	2135.0	1.65	1.44	-999.0	2.68	2011.0	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: population/households (329839/123100)	79.007	0.0	River	37754.79109538884		
105	Leicestershire CC and Rutland	Leicestershire CC and Rutland					United Kingdom	673200.0									2465.0		273.1034482758621			13559.249292616105		125.45728225513595		EGNX	6.0	2135.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	31576.949637021837		
106	Lincolnshire	Lincolnshire					United Kingdom	686400.0									5921.0		115.92636378990035			8920.305830260955		92.16678163486779		EGXW	5.0	2201.0	1.65	1.44	-999.0	2.32	2011.0	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: population/households (713653/307000)	79.007	1.0	-999	23698.456721925304		
107	Linköping	Linköping					Sweden	137636.0											2391.01139328005					99.68672440349908		ILINK_F6PI1	33.0	3295.0	1.52	1.38	-999.0	2.02	2011.0	http://www.ssd.scb.se/databaser/makro/start.asp?lang=2 	Calculation: population/households (147334/72750)	84.319	0.0	Near a lake	27663.676590405907		
108	Lisbon	Lisbon					Portugal	2000000.0									958.0		2087.6826722338205			64617.06697512385		48.65		08535	180.0	511.0	1.47	1.61	46.46	1.69	2011.0	http://www.ine.pt/xportal/xmain?xpid=INE&xpgid=ine_publicacoes&PUBLICACOESpub_boui=122103956&PUBLICACOESmodo=2	"Calculation: resident pop ""HM""/accomodations ""Alojamentos"" (545245/322585)"	57.575	1.0	-999	28602.74159088449		
109	Liverpool	Liverpool					United Kingdom	436200.0									111.84		3900.214592274678			41246.498095598545		83.17631344475079		EGGP	2.0	1916.0	1.65	1.44	-999.0	2.23	2004.0	http://www.urbanaudit.org	-999	79.007	-999.0	-999	32667.278954540798		
110	Ljubljana	Ljubljana					Slovenia	271000.0									163.8		1654.4566544566544			21174.45993072204		105.87		14015	134.0	2223.0	1.26	1.18	-999.0	2.5	2004.0	http://www.urbanaudit.org	-999	50.469	0.0	Mountains	25616.573233206196		
111	Greater London	London	London	London 	Greater London 	2003.0	United Kingdom	7556900.0	7007100.0	7364100.0	2003.0	8361000.0	7654000.0	8923000.0	1.001084824259128	1.00769968256599	1570.0	1570.0	4813.3121019108285	5907.0	4690.509554140127	190718.9508751816	185853.11783137594	74.4859511140291	6.3	EGLL	17.0	1810.0	1.65	1.44	79.17	2.47	2011.0	http://data.london.gov.uk/datastorefiles/documents/2011-census-first-results.pdf	-999	79.007	0.0	Major River	53144.87752163332	22362.9	53144.87752163332
112	Los Angeles	Los Angeles	Los Angeles	Los Angeles 	County 	2000.0	USA	9519338.0	9077853.0	9519338.0	2000.0	4046000.0	10883000.0	13223000.0	1.0199332153244565	1.00978535649184		10517.6	8225.0	2411.0	905.0865216399178		92821.46582948738	163.47304875831492	8.8	KCQT	202.0	371.0	0.78	0.56	55.73	2.98	2010.0	http://factfinder2.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=DEC_10_DP_DPDP1&prodType=table	metro area	80.731	1.0	-999	51923.012230266446	28242.79	51923.012230266446
113	Luton	Luton					United Kingdom	187200.0									43.35		4318.339100346021			28432.25421215798		70.18700319046381		EGGW	7.0	2240.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	35528.22183966861		
114	Lyon	Lyon	Lyon				France	1267086.0	1152259.0								954.19		1327.9179199111288	4742.0		41019.33940799769		135.85		LFLY	136.0	1760.0	1.45	1.52	-999.0	1.99	2009.0	http://www.recensement.insee.fr/home.action	Calculation: pop/household (479787/240595)	81.555	0.0	River, Mountains	39792.82151711553	41622.16	
115	Madrid	Madrid	Madrid				Spain	5720000.0	5181659.0										5390.0	8585.0				74.78810572027972		LEMD	381.0	1495.0	1.28	1.23	58.34	2.7	2004.0	http://www.urbanaudit.org	-999	76.701	0.0	-999	34725.03773115469	17568.39	
116	Manchester	Manchester	Manchester				United Kingdom	2553300.0	2578300.0										2001.018809	5157.0				89.65282454836378		EGCC	2.0	2227.0	1.65	1.44	-999.0	2.24	2004.0	http://www.urbanaudit.org	-999	79.007	0.0	Mountains	30938.221751722114	14491.27	
117	Mangaung	Mangaung 					South Africa	662063.0											120.0					27.000000000000004		FABL	283.0	1260.0	0.95	0.87	-999.0	3.71	2007.0	http://www.statssa.gov.za/community_new/content.asp?link=interactivedata.asp	Calculation: pop/household (752906/202762)	59.256	0.0	-999	7122.295112024385		
118	Mbeya	Mbeya					Tanzania	146991.0											47.5					25.2		Not enough data, no cities near enough . . .			1.3	1.11	-999.0	4.1	2002.0	http://www.nbs.go.tz/takwimu/references/2002popcensus.pdf	-999	24.192	0.0	Mountains	368.0		
119	Medway	Medway					United Kingdom	251800.0									192.03		1311.2534499817737			18170.680193801512		64.80612848273299		EGMC	13.0	1855.0	1.65	1.44	-999.0			-999	-999	79.007	1.0	-999	23200.60221899564		
120	Melbourne	Melbourne	Melbourne				Australia	3892419.0	3138147.0								2640.35		1474.2056924271403	1368.0		75751.08083130931		123.34489169845281		94868	177.0	685.0	0.94	0.74	49.93	2.7	2011.0	http://www.censusdata.abs.gov.au/census_services/getproduct/census/2011/quickstat/1GSYD?opendocument&navpos=220#householdcomposition	-999	88.182	1.0	-999	37077.79718335081	21475.54	
121	Mexico City	Mexico City		Mexico City 	City 	2000.0	Mexico	8669594.0		8669594.0	2000.0	2883000.0	15312000.0	20142000.0	1.0329301777633109	1.013802910187694	1485.0	1485.0	5838.1104377104375		5838.1104377104375	224975.65917696917	224975.65917696917	40.0053281534844	3.7	MMMX	113.0	487.0	0.54	0.74	43.33	3.9	2010.0	http://www3.inegi.org.mx/sistemas/mexicocifras/default.aspx?e=9	-999	76.308	0.0	Mountains	16813.599736191958		16813.599736191958
122	Milano	Milano (Milan)	Milan				Italy	3721428.0	2460000.0										2000.0	7664.0				108.35669323711222		LIML	263.0	1649.0	1.63	1.57	54.73	1.95	2004.0	http://www.urbanaudit.org	-999	67.588	0.0	Mountains	38940.59899445214	24971.84	
